player_id,full_name,first_name,last_name,position,team,status
7823,Nate Hobbs,Nate,Hobbs,CB,SF,Active
5396,Sergio Bailey II,Sergio,Bailey II,WR,,Inactive
7160,Ledarius Mack,Ledarius,Mack,LB,,Inactive
2854,Kenneth Horsley,Kenneth,Horsley,DT,,Active
11629,Devontez Walker,Devontez,Walker,WR,BAL,Active
6623,Jomon Dotson,Jomon,Dotson,DB,,Inactive
5031,Oren Burks,Oren,Burks,LB,CIN,Active
13295,Behren Morton,Behren,Morton,QB,NE,Active
13024,Jay Higgins,Jay,Higgins,LB,BAL,Active
680,Kory Lichtensteiger,Kory,Lichtensteiger,C,,Inactive
12446,Marvin Moody,Marvin,Moody,LB,,Active
526,Arthur Jones,Arthur,Jones,DE,,Inactive
12342,Travis Benham,Travis,Benham,P,,Active
7229,Dieter Eiselen,Dieter,Eiselen,OL,,Active
6478,Ryan Crozier,Ryan,Crozier,G,,Active
3060,Kevin Coyle,Kevin,Coyle,,,Inactive
2109,Ryan Groy,Ryan,Groy,G,,Inactive
5003,Shaquem Griffin,Shaquem,Griffin,LB,,Active
355,Brian Leonard,Brian,Leonard,RB,,Inactive
14033,Larry Worth,Larry,Worth,DB,SF,Active
506,David Nelson,David,Nelson,WR,,Inactive
737,Mickey Shuler,Mickey,Shuler,TE,,Inactive
12766,Devin Brandt-Epps,Devin,Brandt-Epps,DL,,Active
1749,Jake Stoneburner,Jake,Stoneburner,TE,,Inactive
4758,Brett Veach,Brett,Veach,,,Inactive
8361,Damarion Williams,Damarion,Williams,DB,TB,Active
3054,Tyreek Burwell,Tyreek,Burwell,T,,Inactive
2320,Melvin Gordon,Melvin,Gordon,RB,,Active
11037,Cory Trice,Cory,Trice,CB,,Active
1100,Jared Crick,Jared,Crick,DE,,Inactive
1895,AJ McCarron,AJ,McCarron,QB,,Active
11906,Ty James,Ty,James,WR,,Active
5040,Tarvarius Moore,Tarvarius,Moore,DB,,Active
12493,Oronde Gadsden,Oronde,Gadsden,TE,LAC,Active
2496,Malcolm Johnson,Malcolm,Johnson,FB,,Active
3876,Michael Wakefield,Michael,Wakefield,OLB,,Inactive
13523,Dalton Johnson,Dalton,Johnson,DB,LV,Active
7144,Clay Johnston,Clay,Johnston,LB,,Active
3728,Brian Price,Brian,Price,DT,,Injured Reserve
6581,Derick Roberson,Derick,Roberson,LB,,Active
4712,Johnny Ragin,Johnny,Ragin,ILB,,Active
1660,Brynden Trawick,Brynden,Trawick,FS,,Active
287,Brad Smith,Brad,Smith,WR,,Inactive
7258,Luke Sellers,Luke,Sellers,FB,,Inactive
3040,David Irving,David,Irving,DE,,Inactive
14050,Courtland Ford,Courtland,Ford,OL,NYJ,Active
12028,TaMerik Williams,TaMerik,Williams,RB,,Active
521,Jeff Cumberland,Jeff,Cumberland,TE,,Inactive
7399,Bejour Wilson,Bejour,Wilson,CB,,Active
1279,Orie Lemon,Orie,Lemon,LB,,Inactive
